Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,district,area_comfort
41000.0,1.0,1464.0,9.0,9.0,1969.0,28.0,17.0,5.0,Іллєнка,Оболонський,6.0
135000.0,1.0,1552.0,15.0,22.0,2012.0,87.0,15.0,40.0,Дніпровська,Оболонський,32.0
155000.0,3.0,1742.0,4.0,4.0,1917.0,89.0,37.0,13.0,Івана Мазепи,Дніпровський,39.0
90000.0,3.0,1286.0,5.0,16.0,1974.0,70.0,46.0,7.0,Українки,Дніпровський,17.0
132000.0,2.0,1347.0,1.0,6.0,2016.0,98.0,32.0,18.0,Данченка,Дніпровський,48.0
185000.0,3.0,2011.0,18.0,25.0,2017.0,92.0,37.0,14.0,Тбіліський,Дніпровський,41.0
70500.0,2.0,1203.0,20.0,26.0,2020.0,69.0,28.0,14.0,Каховська,Дніпровський,27.0
87000.0,3.0,915.0,9.0,19.0,2019.0,69.0,52.0,14.0,Ушинського,Солом'янський,3.0
185000.0,3.0,1637.0,8.0,24.0,2007.0,113.0,37.0,14.0,Урлівська,Дарницький,62.0
49860.0,2.0,997.0,2.0,9.0,1974.0,50.0,30.0,6.0,Світлицького,Подільський,14.0
100000.0,2.0,1408.0,15.0,23.0,2007.0,71.0,30.0,12.0,Дніпровська,Оболонський,29.0
90000.0,1.0,1800.0,3.0,25.0,2010.0,50.0,25.0,14.0,Липківського,Дніпровський,11.0
152000.0,2.0,1949.0,14.0,30.0,2020.0,78.0,37.0,12.0,Микільсько-Слобідська,Дніпровський,29.0
159900.0,3.0,1259.0,15.0,25.0,2007.0,127.0,77.0,14.0,Лобановського,Оболонський,36.0
280000.0,3.0,2137.0,8.0,9.0,2005.0,131.0,75.0,25.0,Героїв Сталінграда,Оболонський,31.0
85000.0,1.0,1545.0,6.0,25.0,2007.0,55.0,24.0,13.0,Дніпровська,Оболонський,18.0
67000.0,2.0,1098.0,13.0,15.0,1994.0,61.0,31.0,9.0,Драгоманова,Дарницький,21.0
59000.0,1.0,1224.0,16.0,25.0,2010.0,69.0,37.0,14.0,Ахматової,Печерський,18.0
420000.0,2.0,4667.0,5.0,18.0,2017.0,90.0,37.0,14.0,Саперне Поле,Печерський,39.0
